city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga
Jakarta Barat,298,582,4,4,3,2008,HGB,Sedang,-6.192605091072549,106.81698972051998,3931519900
Bekasi,309,504,6,5,3,2015,SHM,Bagus,-6.1491246313021115,106.94962828141877,3017883795
Jakarta Pusat,38,189,6,6,1,2006,HGB,Baru,-6.120777207217815,106.93776099560316,1324527921
Jakarta Barat,63,76,2,1,2,2021,HGB,Baru,-6.379403404914745,106.91394428215506,767141653
Jakarta Utara,361,506,3,2,0,2001,SHM,Sedang,-6.341579630346583,106.82823348397089,3921474730
Depok,184,240,2,2,2,1981,SHM,Bagus,-6.365886991739309,106.78366051845143,1497389099
Tangerang,575,785,1,1,1,2015,SHM,Baru,-6.324433451386851,106.87479375442716,4908586439
Jakarta Timur,523,790,4,4,2,2009,SHM,Baru,-6.129867212401687,106.96039145380213,5735846713
Jakarta Selatan,473,682,3,3,2,1986,HGB,Sedang,-6.248710601571223,106.96280878662675,7167667840
Jakarta Utara,100,116,7,7,0,1991,SHM,Bagus,-6.191632835936425,106.71471947042255,1301613341
Jakarta Barat,391,676,5,4,2,1982,HGB,Bagus,-6.278458267355626,106.81707209082022,5022717780
Tangerang,568,770,6,5,2,1996,HGB,Bagus,-6.439899730332357,106.82871102598361,5076748668
Jakarta Utara,287,385,3,3,2,2020,SHM,Baru,-6.427531579900765,106.9928369176076,3175023565
Jakarta Barat,270,548,7,6,3,2011,HGB,Bagus,-6.26172693905624,106.89695936487763,4064650888
Bogor,262,470,3,2,1,1987,SHM,Bagus,-6.1984238378129906,106.81031885352387,2229438041
Bogor,560,688,2,2,1,2002,SHM,Bagus,-6.374634315364944,106.6883385235154,3820980099
Jakarta Utara,348,635,7,6,0,2017,HGB,Sedang,-6.1973316491026935,106.86092325123174,4181158690
Bogor,84,335,5,4,3,2009,SHM,Bagus,-6.1662669792807705,106.71074431220428,1601190275
Jakarta Barat,153,417,6,6,3,1994,SHM,Sedang,-6.305835882573261,106.94702398635128,2899910377
Jakarta Barat,89,359,1,1,2,1989,HGB,Baru,-6.188753268504563,106.92080597138252,1967398054
Jakarta Utara,79,266,1,1,1,2017,HGB,Bagus,-6.308589517385039,106.82736293117063,1287950400
Tangerang,88,301,3,3,0,1994,SHM,Baru,-6.212577279690743,106.81734744945335,1599883937
Depok,593,875,7,6,3,2009,SHM,Sedang,-6.18260103273816,106.967148468982,4973082798
Bekasi,560,770,3,3,2,2005,SHM,Bagus,-6.102825683592161,106.77230667213381,4405789225
Tangerang,137,212,4,4,0,1993,HGB,Bagus,-6.329111168277741,106.75968638787417,1638343144
Jakarta Pusat,433,580,5,5,3,1982,SHM,Sedang,-6.306135726798886,106.98054317850425,6188438660
Jakarta Barat,173,385,6,6,0,2015,HGB,Butuh Renovasi,-6.39203297920644,106.93895866776111,2973016456
Jakarta Pusat,422,530,3,2,3,2005,HGB,Baru,-6.378574429559368,106.9426001897815,5861489281
Tangerang,146,274,4,4,0,1993,HGB,Baru,-6.207311749090568,106.7424620205683,1481183302
Bekasi,52,61,7,7,3,2010,HGB,Baru,-6.129034043445933,106.7258547172579,781878630
Bekasi,217,263,5,4,3,1993,HGB,Sedang,-6.311888266918566,106.68832945594148,1800729171
Jakarta Selatan,571,666,6,5,0,2019,SHM,Baru,-6.3870544436075605,106.75585328285398,7997599932
Bekasi,576,678,1,1,3,1989,SHM,Bagus,-6.350215175215952,106.92774095734859,4440933360
Depok,206,351,4,3,3,1988,HGB,Bagus,-6.290731903317152,106.75681229400453,2076848810
Bekasi,444,470,7,7,3,2019,Girik,Bagus,-6.348272384722121,106.91331305075036,3538044449
Tangerang,413,632,5,4,0,2022,HGB,Baru,-6.368247320907347,106.76061064491758,3593314811
Jakarta Selatan,223,240,4,4,0,2021,SHM,Bagus,-6.192405428935022,106.80649359934422,3245208875
Tangerang,265,431,3,2,3,1997,HGB,Baru,-6.447254277565782,106.99461193277165,2672384532
Tangerang,154,235,2,2,3,2015,SHM,Baru,-6.261269315432231,106.75833975401093,1534913824
Jakarta Timur,191,262,1,1,0,2015,Girik,Bagus,-6.172181617539586,106.80043860073545,2033394086
Jakarta Selatan,500,753,3,3,2,1991,SHM,Sedang,-6.356820099788886,106.77634789774888,7579185731
Tangerang,139,300,3,3,3,2019,HGB,Baru,-6.238847971285794,106.7150799956256,1490716085
Jakarta Timur,537,574,7,6,2,1982,SHM,Bagus,-6.215884963033483,106.83676612548187,5380052317
Jakarta Timur,210,410,7,7,0,1997,HGB,Baru,-6.220741356258218,106.80118101226657,2919522914
Jakarta Selatan,456,655,5,5,3,1986,SHM,Sedang,-6.293952628030449,106.90236386745833,6792396342
Jakarta Pusat,169,423,7,7,2,2010,HGB,Sedang,-6.328697704243477,106.94163025502449,3415904637
Depok,426,604,4,4,0,1980,Girik,Sedang,-6.157426574440265,106.85415990863861,3402807321
Bekasi,536,570,1,1,2,2010,HGB,Bagus,-6.184543915050047,106.69030285506796,3792796175
Depok,68,149,3,3,1,1992,HGB,Bagus,-6.337560689305131,106.87805515399512,799695732
Bekasi,90,309,5,5,0,2008,SHM,Sedang,-6.413943281945228,106.6977250336067,892276995
Tangerang,554,711,1,1,1,1982,SHM,Baru,-6.424867359094086,106.8772340235517,4497784632
Jakarta Barat,47,50,7,6,0,2008,HGB,Bagus,-6.417003407735373,106.89920958376614,844924480
Jakarta Selatan,563,729,7,6,0,2014,SHM,Sedang,-6.2459957235827845,106.74328564083761,8285172148
Depok,590,793,4,4,3,1994,HGB,Bagus,-6.431918238459854,106.94219076759097,4697178484
Depok,408,601,7,7,1,2000,HGB,Bagus,-6.332075593762586,106.9715472421037,3730915036
Tangerang,519,753,3,2,1,1998,SHM,Sedang,-6.18638010433002,106.94018782851643,4455445385
Jakarta Pusat,263,468,6,6,1,2007,SHM,Baru,-6.346978141719617,106.77763494086787,4406711788
Jakarta Timur,342,491,3,2,0,1983,SHM,Bagus,-6.1828421729869545,106.8677257639826,3713679759
Tangerang,492,650,3,3,1,1992,SHM,Bagus,-6.1890865366275305,106.97274084774119,4272012036
Bogor,195,473,7,6,1,1994,HGB,Baru,-6.363960503578374,106.78261271239131,2387299641
Jakarta Timur,366,531,1,1,3,2018,HGB,Baru,-6.194912236967539,106.94240890312494,4400947353
Jakarta Selatan,260,327,7,6,2,2011,SHM,Bagus,-6.188278176604765,106.68303204200375,3886033785
Jakarta Timur,539,626,1,1,2,1982,SHM,Baru,-6.310891126016541,106.6811669448911,5557052845
Jakarta Pusat,491,707,1,1,1,2009,HGB,Bagus,-6.376352830690469,106.92310773130848,6704480239
Jakarta Timur,80,80,1,1,1,1999,SHM,Bagus,-6.267555217587845,106.92366322628068,552914926
Jakarta Selatan,249,383,5,5,1,1981,SHM,Baru,-6.127510844199931,106.93247270011274,4064715343
Jakarta Pusat,94,278,2,2,1,2004,SHM,Bagus,-6.226134143648778,106.97760858812421,2000373977
Depok,230,369,7,6,2,1990,HGB,Baru,-6.389477125830458,106.7177300197825,2082486492
Depok,524,629,5,5,3,1980,SHM,Bagus,-6.211035076343268,106.75423519519478,4140119590
Bekasi,192,324,3,3,0,1989,SHM,Bagus,-6.300478940451358,106.96919197451962,1883046127
Jakarta Timur,261,368,5,5,1,1996,Girik,Sedang,-6.242964920925619,106.73671558328716,3092964817
Depok,447,624,4,3,1,2009,SHM,Bagus,-6.193077587741912,106.8983133656245,3829771610
Jakarta Selatan,240,537,6,6,2,2014,HGB,Bagus,-6.269768426969944,106.84974816001306,4532286587
Jakarta Utara,114,259,1,1,1,1998,SHM,Sedang,-6.165105608899342,106.70662197659249,1703411550
Jakarta Utara,159,232,7,7,3,2013,SHM,Bagus,-6.19724554723918,106.7712843718213,2032434382
Jakarta Pusat,506,613,4,3,3,2011,SHM,Bagus,-6.234724330993521,106.84651910926111,7055774839
Depok,253,374,7,6,1,1991,SHM,Sedang,-6.397222514458677,106.95275203733883,2169321371
Depok,551,567,6,6,2,2022,SHM,Baru,-6.1574178111809506,106.9064123166767,4149860319
Jakarta Utara,139,334,4,3,1,1996,SHM,Butuh Renovasi,-6.122433045138064,106.87900261166558,2100292982
Depok,428,724,7,6,1,1985,SHM,Butuh Renovasi,-6.402062206666747,106.83873052478125,4006567385
Jakarta Timur,469,720,3,3,2,1992,SHM,Bagus,-6.279115604698299,106.77557887482052,5379987014
Bogor,366,484,1,1,3,2018,HGB,Sedang,-6.359388940310324,106.71815837162217,2758351478
Jakarta Barat,178,339,4,3,0,2001,HGB,Sedang,-6.185916842401052,106.81090433106115,2463756875
Bekasi,575,772,3,2,1,1990,HGB,Butuh Renovasi,-6.197429627398355,106.68912591805162,4425512594
Jakarta Pusat,313,357,1,1,3,1986,SHM,Sedang,-6.400690207800361,106.7475378845654,4333263910
Bogor,268,446,2,2,1,2000,HGB,Sedang,-6.1430404550584266,106.81839468027925,2203904881
Jakarta Utara,564,607,3,2,0,1980,SHM,Baru,-6.386659427607699,106.81395365941502,5127925295
Depok,125,395,5,4,2,2009,SHM,Bagus,-6.1709593410231625,106.69417453791904,1660295492
Bekasi,527,604,7,7,3,1998,SHM,Baru,-6.290056874130198,106.86849924912809,4388223094
Depok,234,411,1,1,0,2008,HGB,Bagus,-6.335104697254647,106.85589896187304,1891458926
Jakarta Selatan,397,399,4,3,1,2014,HGB,Butuh Renovasi,-6.394616258064025,106.7049933772867,5321726730
Jakarta Selatan,476,689,6,6,0,1999,HGB,Baru,-6.39133501034868,106.98181217678734,7088018697
Bekasi,61,134,4,4,3,2015,SHM,Sedang,-6.218338305854685,106.71180248926429,650269300
Bekasi,60,110,5,5,2,2018,HGB,Baru,-6.257349364218507,106.95354692839595,899568232
Jakarta Utara,429,495,7,7,1,1980,SHM,Baru,-6.407270102422069,106.68009911421281,4389712113
Bekasi,542,634,5,5,2,2002,SHM,Bagus,-6.410555748846586,106.96232995041453,4413779265
Jakarta Timur,336,511,4,4,2,2010,SHM,Baru,-6.424691298829523,106.68631031430539,4155281583
Depok,374,518,7,7,0,2014,SHM,Butuh Renovasi,-6.189681428419259,106.92249985020548,3388288687
Bogor,302,308,6,6,0,2001,SHM,Baru,-6.200841270169748,106.79574105961609,2375113009
Tangerang,496,764,1,1,3,1986,HGB,Baru,-6.429549153200899,106.91622937604362,4457826844
Bekasi,491,494,7,6,3,2012,SHM,Baru,-6.253905473541059,106.808558465736,3556129364
Jakarta Pusat,395,532,3,2,2,2015,SHM,Bagus,-6.420363345665058,106.70269053514619,5529006843
Jakarta Selatan,103,333,7,6,3,2023,SHM,Baru,-6.13368898028687,106.92560214252651,2804431116
Jakarta Timur,447,534,5,4,2,1986,Girik,Bagus,-6.132508903286953,106.70280085930284,4764639184
Tangerang,526,542,5,4,1,2006,SHM,Bagus,-6.205618453565404,106.97507853950759,4101100252
Bogor,84,135,5,5,2,1981,SHM,Baru,-6.125833877496192,106.69631169145333,1054991756
Tangerang,599,732,6,6,3,1996,SHM,Baru,-6.165991439355208,106.83338408888689,5180408553
Bekasi,137,347,7,6,3,1980,HGB,Sedang,-6.160011498425533,106.91137101787226,1698861105
Jakarta Utara,251,469,7,6,2,2009,SHM,Bagus,-6.250602252300523,106.80583886873346,3423506151
Jakarta Selatan,473,677,2,2,0,2001,SHM,Bagus,-6.342879280624339,106.74951471186958,7001344183
Jakarta Selatan,594,804,6,5,2,2007,SHM,Sedang,-6.373770309709252,106.92290910764673,8578069713
Jakarta Utara,194,470,1,1,2,2012,SHM,Sedang,-6.335479992286375,106.93097430553239,2623027509
Depok,524,547,1,1,0,2005,SHM,Sedang,-6.230026599468828,106.9752623948654,3661202773
Jakarta Barat,277,280,1,1,1,2014,HGB,Sedang,-6.38957021245866,106.80037283533795,3040692244
Jakarta Timur,40,191,1,1,0,1990,HGB,Baru,-6.359475917176938,106.84200055503915,841437168
Jakarta Selatan,396,654,1,1,3,1986,HGB,Baru,-6.286178698021588,106.79620110171075,6275848243
Jakarta Pusat,494,661,4,3,0,2007,HGB,Bagus,-6.368432465516385,106.76226618299245,7053764969
Jakarta Selatan,283,458,5,4,3,2004,SHM,Sedang,-6.2439747155993786,106.92033054769203,4919002116
Tangerang,457,747,6,6,3,2020,HGB,Baru,-6.126888390040285,106.78868859040543,4410424176
Jakarta Selatan,50,105,4,4,2,2010,HGB,Bagus,-6.188168722003906,106.81700782143756,803050156
Jakarta Selatan,157,264,6,5,2,1982,HGB,Sedang,-6.21675068504788,106.80917557043969,2926112289
Jakarta Barat,312,607,2,1,1,2012,SHM,Bagus,-6.246047483405677,106.90805159220696,4223960575
Jakarta Barat,593,733,7,7,3,2013,SHM,Bagus,-6.279218231760027,106.97369460035542,6645962637
Bogor,488,642,3,3,2,2000,Girik,Bagus,-6.38470264912787,106.89336193961836,3714459535
Depok,425,686,5,5,3,2016,Girik,Baru,-6.136851340600597,106.83090643075016,4075799706
Jakarta Pusat,329,601,2,1,1,1998,SHM,Bagus,-6.363012399295507,106.92934563671645,5260298388
Jakarta Selatan,481,712,4,3,3,2016,Girik,Baru,-6.4180418928476435,106.88511082371909,7077528231
Jakarta Selatan,245,485,3,3,1,2000,HGB,Sedang,-6.1874946872699566,106.69939531427771,4491613814
Jakarta Timur,337,594,7,6,1,1993,SHM,Sedang,-6.388534562984092,106.71061234765403,4377596665
Jakarta Barat,258,506,2,1,1,1989,SHM,Bagus,-6.319836400160589,106.69213342210357,3609482294
Jakarta Pusat,38,114,7,7,2,1986,SHM,Sedang,-6.440100275098157,106.82618122438602,1188801844
Bogor,553,732,7,6,0,2008,SHM,Bagus,-6.4020262201108435,106.94427309898848,4278225294
Depok,128,193,6,6,0,2019,Girik,Baru,-6.389378729234031,106.78018661419243,1410102457
Jakarta Utara,555,725,3,3,2,1987,SHM,Baru,-6.430956455287438,106.8029312585896,5836042403
Depok,463,484,6,5,3,2018,HGB,Bagus,-6.220170065182004,106.97103267467773,3584499283
Tangerang,528,634,7,6,2,1992,HGB,Sedang,-6.157047271468909,106.94780910250132,4351913514
Jakarta Selatan,270,496,2,2,3,1998,SHM,Butuh Renovasi,-6.319339607771921,106.89281539596242,4570252052
Bogor,196,411,7,7,1,1990,SHM,Bagus,-6.143898233148629,106.76537721026952,2184580585
Tangerang,366,434,4,4,2,1981,HGB,Bagus,-6.375328698903956,106.71745327446031,2945359078
Jakarta Pusat,368,451,7,6,0,1985,SHM,Bagus,-6.336113351753566,106.68513882325765,4991352722
Jakarta Utara,85,187,6,6,3,2008,HGB,Bagus,-6.397242052439092,106.71424341523343,1660954169
Jakarta Barat,558,596,3,3,2,2020,SHM,Bagus,-6.23280428160335,106.77363086195966,6113337220
Bogor,527,539,2,2,2,1984,SHM,Sedang,-6.303045643195393,106.85657282034545,3511055795
Bogor,307,603,6,6,3,2020,SHM,Sedang,-6.235350828605335,106.70048002648078,3035882978
Jakarta Selatan,287,467,7,6,1,2009,SHM,Bagus,-6.1834137831120355,106.7235928890619,4808567169
Bekasi,595,862,4,3,1,2018,SHM,Bagus,-6.259003944388468,106.73794582473855,4520009232
Bogor,125,137,5,5,1,2015,Girik,Butuh Renovasi,-6.2303293757843745,106.88223426975466,1123709027
Jakarta Timur,481,600,4,3,1,2006,SHM,Sedang,-6.122662389961983,106.87705273567364,5370195947
Jakarta Utara,367,423,7,6,3,1997,HGB,Bagus,-6.345327491636905,106.85624503243909,3734843747
Jakarta Utara,174,213,4,3,0,2015,Girik,Bagus,-6.324292621478117,106.7601604559027,1693124361
Jakarta Timur,392,519,5,5,2,1995,HGB,Sedang,-6.1988038234017315,106.79875830118999,4304897677
Jakarta Timur,309,481,4,3,2,1984,SHM,Bagus,-6.236043069030615,106.71094070922808,3650729665
Jakarta Timur,54,88,5,4,1,1988,HGB,Bagus,-6.3875134834111,106.75246739320258,997471385
Jakarta Utara,346,604,7,7,3,2013,SHM,Bagus,-6.318348441496329,106.96726567247123,4526096060
Depok,189,193,5,5,0,2013,SHM,Sedang,-6.286256695406349,106.99350135885946,1729327108
Jakarta Utara,425,642,6,5,0,2015,HGB,Bagus,-6.303213556711063,106.88725106740489,4874092090
Bekasi,295,305,6,5,2,2010,SHM,Bagus,-6.387603817087286,106.9733834534475,2135087027
Jakarta Selatan,160,276,5,5,1,1999,Girik,Sedang,-6.126449467875508,106.88567740812846,2543922933
Tangerang,389,572,2,2,2,1996,HGB,Butuh Renovasi,-6.183188433407108,106.69062287555376,3510127034
Depok,308,423,3,3,2,1999,SHM,Sedang,-6.2815254587622515,106.99896402719565,2309701949
Jakarta Barat,280,441,2,2,0,2007,SHM,Baru,-6.211978640092607,106.7116647365397,3486603239
Tangerang,485,551,5,4,3,2000,HGB,Bagus,-6.135951064752567,106.89844537646242,4032024504
Jakarta Selatan,282,481,3,3,0,1998,SHM,Bagus,-6.40233905017345,106.76090758498394,4469480867
Bekasi,555,585,6,5,2,1982,HGB,Baru,-6.3623694322525575,106.80543395613023,3791792670
Bekasi,176,250,3,2,1,2009,SHM,Butuh Renovasi,-6.260054563460174,106.88669893913631,1564767266
Jakarta Barat,397,633,5,4,1,1984,SHM,Sedang,-6.1703463700266745,106.81967595177846,5065878518
Depok,43,108,6,6,3,2021,SHM,Bagus,-6.437310786595465,106.76017473885797,743083985
Jakarta Timur,513,582,3,3,3,1985,SHM,Baru,-6.105593647431274,106.78702277980106,5141409680
Depok,387,683,3,2,3,1982,SHM,Baru,-6.290782688991161,106.78929539741542,3562250288
Bekasi,530,549,2,1,2,2021,SHM,Bagus,-6.324269100782397,106.98698364944264,3562410047
Jakarta Utara,462,687,3,2,2,2003,SHM,Baru,-6.34754644675608,106.9355561650955,5135529065
Jakarta Selatan,74,272,7,6,3,2023,HGB,Bagus,-6.388975152322195,106.82673560687341,2362376436
Jakarta Barat,222,260,5,4,1,1980,HGB,Bagus,-6.17294913187449,106.74394269450924,2309179158
Jakarta Selatan,128,272,1,1,1,2015,SHM,Sedang,-6.115605042338866,106.93952515528404,2218379483
Jakarta Pusat,121,165,1,1,1,1994,HGB,Baru,-6.305224335804111,106.73029839091468,1721034706
Jakarta Pusat,79,169,1,1,2,2020,HGB,Bagus,-6.11665275683629,106.74734790948544,1431440012
Depok,172,409,5,4,0,2017,SHM,Sedang,-6.161670834597738,106.79712428538885,1812401048
Bekasi,456,525,1,1,1,2023,SHM,Bagus,-6.281632105383289,106.96171142267264,3112810690
Bekasi,109,274,2,2,1,1997,SHM,Baru,-6.214090837305854,106.72217173396292,1167979016
Jakarta Timur,583,712,5,5,1,2002,SHM,Baru,-6.297755537290338,106.71911494171346,6292317717
Jakarta Timur,547,760,7,6,3,2008,SHM,Sedang,-6.254446807125607,106.83807199625768,6365671705
Jakarta Timur,191,279,6,6,2,2020,SHM,Sedang,-6.429683782043524,106.76845137314999,2529555276
Jakarta Utara,290,541,7,7,3,2001,SHM,Sedang,-6.206307783644813,106.86199294132741,3990648474
Tangerang,206,277,5,5,3,2003,HGB,Baru,-6.431511374430552,106.82452373909864,1836498908
Bogor,205,369,5,4,0,1992,SHM,Sedang,-6.164020268578122,106.8191869140324,1829203525
Tangerang,357,405,3,2,3,2012,HGB,Sedang,-6.161268574688805,106.71583135055585,2897874468
Jakarta Selatan,491,542,3,3,0,2001,HGB,Baru,-6.3670229493553245,106.72513590087995,6118427814
Tangerang,190,478,3,2,3,2014,SHM,Butuh Renovasi,-6.33671802663747,106.94274514478299,2332836296
Jakarta Utara,384,661,4,4,1,1996,HGB,Bagus,-6.281541367504597,106.96348247602296,4512550013
Jakarta Selatan,486,599,2,2,2,2001,SHM,Butuh Renovasi,-6.241167982573631,106.75509873052329,6587746742
Tangerang,208,446,5,4,3,1984,HGB,Sedang,-6.349426218390301,106.71630736048793,2539493936
Jakarta Utara,45,177,7,6,0,2004,SHM,Bagus,-6.242629758378826,106.69709333501905,1272215554
Bogor,300,573,5,4,2,1985,SHM,Bagus,-6.345774524369745,106.87465523639742,2833274324
Tangerang,473,638,3,3,0,1996,HGB,Bagus,-6.430578247625129,106.90891302800007,3695275591
Jakarta Utara,282,574,5,5,1,2010,HGB,Sedang,-6.449115357558832,106.79929919654504,3548048693
Jakarta Timur,581,823,6,6,3,1996,SHM,Bagus,-6.41459712972855,106.897496277597,6688355322
Bekasi,534,671,5,4,2,2012,HGB,Sedang,-6.172712254942593,106.90814682097906,4142206613
Jakarta Timur,164,242,7,7,1,2018,HGB,Baru,-6.113499040665832,106.979309530047,2140875862
Bekasi,362,531,1,1,3,2016,SHM,Sedang,-6.300561830251573,106.70075956410724,2798577158
Jakarta Barat,439,561,6,6,3,1983,SHM,Bagus,-6.27056061629252,106.74153335143396,5167486013
Jakarta Barat,394,569,6,6,0,2022,SHM,Baru,-6.398603140824301,106.70192831603104,5003818587
Jakarta Barat,52,351,5,4,0,1993,SHM,Sedang,-6.257139026561945,106.95775805866755,1800060799
Bogor,309,390,4,3,1,1992,HGB,Baru,-6.399370784297558,106.93362789121075,2492486815
Jakarta Timur,151,237,3,2,0,2006,HGB,Baru,-6.2360749840804095,106.86388546259899,1979491950
Bekasi,126,350,2,2,1,2003,HGB,Baru,-6.123359466346701,106.70677229121638,1430771424
Jakarta Utara,117,132,2,2,1,2006,Girik,Bagus,-6.381505511243936,106.7674599547692,1200165800
Jakarta Selatan,359,521,1,1,1,1987,SHM,Bagus,-6.182402698680014,106.77527035137874,5504405444
Jakarta Utara,149,246,2,1,0,2018,SHM,Sedang,-6.441774152013587,106.85943782272494,1841880855
Jakarta Selatan,93,248,2,1,2,2000,HGB,Sedang,-6.318575965537432,106.76257404609176,2126930598
Jakarta Pusat,189,190,3,2,1,2020,HGB,Bagus,-6.411238022259322,106.70334715645215,2505390502
Jakarta Utara,439,607,3,2,2,1990,SHM,Bagus,-6.326633595441505,106.91384393659305,4606206557
Tangerang,301,392,4,3,3,2010,SHM,Baru,-6.389262078126391,106.77570566772974,2635062656
Tangerang,350,530,7,7,0,2006,HGB,Sedang,-6.3193432534569896,106.82475973664747,3508592043
Depok,76,306,1,1,0,2021,SHM,Bagus,-6.303867017862364,106.72085332319435,1080378466
Jakarta Timur,140,287,2,1,2,2006,SHM,Baru,-6.344793107026678,106.93681545708627,2133197363
Jakarta Selatan,228,507,4,3,3,1987,HGB,Baru,-6.220182317684404,106.8609702006157,4545370335
Jakarta Selatan,436,624,1,1,3,2012,Girik,Bagus,-6.128401782059381,106.96850740038715,6561291363
Jakarta Timur,313,440,6,5,1,1991,HGB,Sedang,-6.309791619063154,106.8385509001809,3808447001
Bogor,389,395,2,1,0,2014,HGB,Baru,-6.382679895233743,106.98125621498173,2817835680
Depok,291,337,2,1,3,2013,SHM,Bagus,-6.355247034631406,106.96539782540202,2130908134
Bogor,134,186,3,3,3,1995,HGB,Baru,-6.15109971177627,106.86446715406696,1131557362
Bogor,317,503,5,5,1,2015,SHM,Butuh Renovasi,-6.249926096855448,106.97884590020796,2478796221
Bogor,438,475,1,1,1,1981,Girik,Sedang,-6.2907461386925645,106.78338839913427,2692483264
Jakarta Timur,144,369,2,1,2,1991,SHM,Baru,-6.3976271474718756,106.79700549206535,2222902689
Bogor,234,286,1,1,0,2006,HGB,Baru,-6.292595442086676,106.69455294441794,1673685726
Tangerang,338,561,7,6,3,1996,HGB,Sedang,-6.352527798824915,106.86854429016444,3484604027
Jakarta Barat,362,515,4,4,2,1999,SHM,Baru,-6.119892905251327,106.91101567037727,4244107710
Jakarta Pusat,189,236,4,3,0,2000,Girik,Butuh Renovasi,-6.140575461704493,106.92752614087748,2624742270
Jakarta Selatan,587,733,5,5,2,2009,SHM,Bagus,-6.4206341103601305,106.72794121153476,8446410859
