city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,source,log_harga
Jakarta Selatan,571,666,6,5,0,2019,SHM,Baru,-6.3870544436075605,106.75585328285398,7997599932.0,kaggle,22.80240732523973
Bekasi,576,678,1,1,3,1989,SHM,Bagus,-6.350215175215952,106.9277409573486,4440933360.0,kaggle,22.214130407739606
Depok,206,351,4,3,3,1988,HGB,Bagus,-6.290731903317152,106.75681229400452,2076848810.0,kaggle,21.454117587183216
Bekasi,444,470,7,7,3,2019,Girik,Bagus,-6.348272384722121,106.91331305075036,3538044449.0,kaggle,21.986839996200334
Tangerang,413,632,5,4,0,2022,HGB,Baru,-6.368247320907347,106.76061064491758,3593314811.0,kaggle,22.002340959385943
Jakarta Selatan,223,240,4,4,0,2021,SHM,Bagus,-6.192405428935022,106.80649359934422,3245208875.0,kaggle,21.900445553597923
Tangerang,265,431,3,2,3,1997,HGB,Baru,-6.447254277565782,106.99461193277163,2672384532.0,kaggle,21.70623699431736
Tangerang,154,235,2,2,3,2015,SHM,Baru,-6.261269315432231,106.75833975401092,1534913824.0,kaggle,21.151740076344513
Jakarta Timur,191,262,1,1,0,2015,Girik,Bagus,-6.172181617539586,106.80043860073545,2033394086.0,kaggle,21.432972197863663
Jakarta Selatan,500,753,3,3,2,1991,SHM,Sedang,-6.356820099788886,106.77634789774888,7579185731.0,kaggle,22.748671607611406
Tangerang,139,300,3,3,3,2019,HGB,Baru,-6.238847971285794,106.7150799956256,1490716085.0,kaggle,21.12252243608604
Jakarta Timur,537,574,7,6,2,1982,SHM,Bagus,-6.215884963033483,106.83676612548189,5380052317.0,kaggle,22.40596393560814
Jakarta Timur,210,410,7,7,0,1997,HGB,Baru,-6.220741356258218,106.80118101226655,2919522914.0,kaggle,21.7946860546038
Jakarta Selatan,456,655,5,5,3,1986,SHM,Sedang,-6.293952628030449,106.90236386745832,6792396342.0,kaggle,22.63906963864042
Jakarta Pusat,169,423,7,7,2,2010,HGB,Sedang,-6.328697704243477,106.94163025502448,3415904637.0,kaggle,21.95170819620672
Depok,426,604,4,4,0,1980,Girik,Sedang,-6.157426574440265,106.8541599086386,3402807321.0,kaggle,21.947866610821066
Bekasi,536,570,1,1,2,2010,HGB,Bagus,-6.184543915050047,106.69030285506796,3792796175.0,kaggle,22.05636936132556
Depok,68,149,3,3,1,1992,HGB,Bagus,-6.337560689305131,106.87805515399512,799695732.0,kaggle,20.499741879536977
Bekasi,90,309,5,5,0,2008,SHM,Sedang,-6.413943281945228,106.6977250336067,892276995.0,kaggle,20.60928717597098
Tangerang,554,711,1,1,1,1982,SHM,Baru,-6.424867359094086,106.8772340235517,4497784632.0,kaggle,22.226850808723615
Jakarta Barat,47,50,7,6,0,2008,HGB,Bagus,-6.417003407735373,106.89920958376614,844924480.0,kaggle,20.554757809729935
Jakarta Selatan,563,729,7,6,0,2014,SHM,Sedang,-6.2459957235827845,106.7432856408376,8285172148.0,kaggle,22.83773326600376
Depok,590,793,4,4,3,1994,HGB,Bagus,-6.431918238459854,106.94219076759096,4697178484.0,kaggle,22.270227843056393
Depok,408,601,7,7,1,2000,HGB,Bagus,-6.332075593762586,106.9715472421037,3730915036.0,kaggle,22.039919358747103
Tangerang,519,753,3,2,1,1998,SHM,Sedang,-6.18638010433002,106.94018782851644,4455445385.0,kaggle,22.21739286728285
Jakarta Pusat,263,468,6,6,1,2007,SHM,Baru,-6.346978141719617,106.77763494086788,4406711788.0,kaggle,22.206394622210688
Jakarta Timur,342,491,3,2,0,1983,SHM,Bagus,-6.1828421729869545,106.8677257639826,3713679759.0,kaggle,22.03528907106509
Tangerang,492,650,3,3,1,1992,SHM,Bagus,-6.1890865366275305,106.9727408477412,4272012036.0,kaggle,22.175350756250147
Bogor,195,473,7,6,1,1994,HGB,Baru,-6.363960503578374,106.78261271239133,2387299641.0,kaggle,21.593428707216564
Jakarta Timur,366,531,1,1,3,2018,HGB,Baru,-6.194912236967539,106.94240890312494,4400947353.0,kaggle,22.205085662422515
Jakarta Selatan,260,327,7,6,2,2011,SHM,Bagus,-6.188278176604765,106.68303204200376,3886033785.0,kaggle,22.080654882151048
Jakarta Timur,539,626,1,1,2,1982,SHM,Baru,-6.310891126016541,106.6811669448911,5557052845.0,kaggle,22.438333741006428
Jakarta Pusat,491,707,1,1,1,2009,HGB,Bagus,-6.376352830690469,106.92310773130848,6704480239.0,kaggle,22.62604183240541
Jakarta Timur,80,80,1,1,1,1999,SHM,Bagus,-6.267555217587845,106.92366322628068,552914926.0,kaggle,20.130714708592492
Jakarta Selatan,249,383,5,5,1,1981,SHM,Baru,-6.127510844199931,106.93247270011274,4064715343.0,kaggle,22.125609551417984
Jakarta Pusat,94,278,2,2,1,2004,SHM,Bagus,-6.226134143648778,106.9776085881242,2000373977.0,kaggle,21.416599989026093
Depok,230,369,7,6,2,1990,HGB,Baru,-6.389477125830458,106.7177300197825,2082486492.0,kaggle,21.456828446029856
Depok,524,629,5,5,3,1980,SHM,Bagus,-6.211035076343268,106.75423519519478,4140119590.0,kaggle,22.143990511081398
Bekasi,192,324,3,3,0,1989,SHM,Bagus,-6.300478940451358,106.96919197451962,1883046127.0,kaggle,21.35615658340051
Jakarta Timur,261,368,5,5,1,1996,Girik,Sedang,-6.242964920925619,106.73671558328716,3092964817.0,kaggle,21.852395955867546
Depok,447,624,4,3,1,2009,SHM,Bagus,-6.193077587741912,106.8983133656245,3829771610.0,kaggle,22.066071006768244
Jakarta Selatan,240,537,6,6,2,2014,HGB,Bagus,-6.269768426969944,106.84974816001306,4532286587.0,kaggle,22.234492414652983
Jakarta Utara,114,259,1,1,1,1998,SHM,Sedang,-6.165105608899342,106.70662197659249,1703411550.0,kaggle,21.255898871791857
Jakarta Utara,159,232,7,7,3,2013,SHM,Bagus,-6.19724554723918,106.7712843718213,2032434382.0,kaggle,21.432500114978264
Jakarta Pusat,506,613,4,3,3,2011,SHM,Bagus,-6.234724330993521,106.84651910926112,7055774839.0,kaggle,22.677112244710912
Depok,253,374,7,6,1,1991,SHM,Sedang,-6.397222514458677,106.95275203733884,2169321371.0,kaggle,21.49768022379076
Depok,551,567,6,6,2,2022,SHM,Baru,-6.157417811180951,106.9064123166767,4149860319.0,kaggle,22.146340512791255
Jakarta Utara,139,334,4,3,1,1996,SHM,Butuh Renovasi,-6.122433045138064,106.87900261166558,2100292982.0,kaggle,21.465342687658662
Depok,428,724,7,6,1,1985,SHM,Butuh Renovasi,-6.402062206666747,106.83873052478124,4006567385.0,kaggle,22.11120069820981
Jakarta Timur,469,720,3,3,2,1992,SHM,Bagus,-6.279115604698299,106.77557887482052,5379987014.0,kaggle,22.40595179754842
Bogor,366,484,1,1,3,2018,HGB,Sedang,-6.359388940310324,106.71815837162217,2758351478.0,kaggle,21.737899048009215
Jakarta Barat,178,339,4,3,0,2001,HGB,Sedang,-6.185916842401052,106.81090433106117,2463756875.0,kaggle,21.62495320729489
Bekasi,575,772,3,2,1,1990,HGB,Butuh Renovasi,-6.197429627398355,106.68912591805162,4425512594.0,kaggle,22.210651949375258
Jakarta Pusat,313,357,1,1,3,1986,SHM,Sedang,-6.400690207800361,106.7475378845654,4333263910.0,kaggle,22.189586885073048
Bogor,268,446,2,2,1,2000,HGB,Sedang,-6.1430404550584266,106.81839468027924,2203904881.0,kaggle,21.513496570318495
Jakarta Utara,564,607,3,2,0,1980,SHM,Baru,-6.386659427607699,106.81395365941502,5127925295.0,kaggle,22.357966988595955
Depok,125,395,5,4,2,2009,SHM,Bagus,-6.1709593410231625,106.69417453791904,1660295492.0,kaggle,21.230261431304672
Bekasi,527,604,7,7,3,1998,SHM,Baru,-6.290056874130198,106.86849924912808,4388223094.0,kaggle,22.20219022013626
Depok,234,411,1,1,0,2008,HGB,Bagus,-6.335104697254647,106.85589896187304,1891458926.0,kaggle,21.3606142872893
Jakarta Selatan,397,399,4,3,1,2014,HGB,Butuh Renovasi,-6.394616258064025,106.7049933772867,5321726730.0,kaggle,22.395063661133623
Jakarta Selatan,476,689,6,6,0,1999,HGB,Baru,-6.39133501034868,106.98181217678734,7088018697.0,kaggle,22.681671688225396
Bekasi,61,134,4,4,3,2015,SHM,Sedang,-6.218338305854685,106.71180248926429,650269300.0,kaggle,20.292897144282357
Bekasi,60,110,5,5,2,2018,HGB,Baru,-6.257349364218507,106.95354692839597,899568232.0,kaggle,20.61742546506489
Jakarta Utara,429,495,7,7,1,1980,SHM,Baru,-6.407270102422069,106.6800991142128,4389712113.0,kaggle,22.202529484206643
Bekasi,542,634,5,5,2,2002,SHM,Bagus,-6.410555748846586,106.96232995041451,4413779265.0,kaggle,22.207997135827764
Jakarta Timur,336,511,4,4,2,2010,SHM,Baru,-6.424691298829523,106.6863103143054,4155281583.0,kaggle,22.14764603287331
Depok,374,518,7,7,0,2014,SHM,Butuh Renovasi,-6.189681428419259,106.92249985020548,3388288687.0,kaggle,21.943590819078985
Bogor,302,308,6,6,0,2001,SHM,Baru,-6.200841270169748,106.79574105961608,2375113009.0,kaggle,21.588310856458868
Tangerang,496,764,1,1,3,1986,HGB,Baru,-6.429549153200899,106.91622937604362,4457826844.0,kaggle,22.217927229747037
Bekasi,491,494,7,6,3,2012,SHM,Baru,-6.253905473541059,106.808558465736,3556129364.0,kaggle,21.991938533295187
Jakarta Pusat,395,532,3,2,2,2015,SHM,Bagus,-6.420363345665058,106.7026905351462,5529006843.0,kaggle,22.4332740421383
Jakarta Selatan,103,333,7,6,3,2023,SHM,Baru,-6.13368898028687,106.92560214252651,2804431116.0,kaggle,21.754466545013592
Jakarta Timur,447,534,5,4,2,1986,Girik,Bagus,-6.132508903286953,106.70280085930284,4764639184.0,kaggle,22.284487649254782
Tangerang,526,542,5,4,1,2006,SHM,Bagus,-6.205618453565404,106.9750785395076,4101100252.0,kaggle,22.13452112904632
Bogor,84,135,5,5,2,1981,SHM,Baru,-6.125833877496192,106.69631169145332,1054991756.0,kaggle,20.776798790573775
Tangerang,599,732,6,6,3,1996,SHM,Baru,-6.165991439355208,106.83338408888687,5180408553.0,kaggle,22.368149761536188
Bekasi,137,347,7,6,3,1980,HGB,Sedang,-6.160011498425533,106.91137101787226,1698861105.0,kaggle,21.25322392585302
Jakarta Utara,251,469,7,6,2,2009,SHM,Bagus,-6.250602252300523,106.80583886873346,3423506151.0,kaggle,21.95393105351516
Jakarta Selatan,473,677,2,2,0,2001,SHM,Bagus,-6.342879280624339,106.74951471186958,7001344183.0,kaggle,22.669367993852752
Jakarta Selatan,594,804,6,5,2,2007,SHM,Sedang,-6.373770309709252,106.92290910764672,8578069713.0,kaggle,22.872474750077323
Jakarta Utara,194,470,1,1,2,2012,SHM,Sedang,-6.335479992286375,106.9309743055324,2623027509.0,kaggle,21.687595025767
Depok,524,547,1,1,0,2005,SHM,Sedang,-6.230026599468828,106.9752623948654,3661202773.0,kaggle,22.02105755714969
Jakarta Barat,277,280,1,1,1,2014,HGB,Sedang,-6.38957021245866,106.80037283533797,3040692244.0,kaggle,21.835351038613112
Jakarta Timur,40,191,1,1,0,1990,HGB,Baru,-6.359475917176938,106.84200055503916,841437168.0,kaggle,20.550621903329215
Jakarta Selatan,396,654,1,1,3,1986,HGB,Baru,-6.286178698021588,106.79620110171076,6275848243.0,kaggle,22.559974491155184
Jakarta Pusat,494,661,4,3,0,2007,HGB,Bagus,-6.368432465516385,106.76226618299243,7053764969.0,kaggle,22.676827349520757
Jakarta Selatan,283,458,5,4,3,2004,SHM,Sedang,-6.2439747155993786,106.92033054769205,4919002116.0,kaggle,22.316371525131547
Tangerang,457,747,6,6,3,2020,HGB,Baru,-6.126888390040285,106.78868859040544,4410424176.0,kaggle,22.20723670704043
Jakarta Selatan,50,105,4,4,2,2010,HGB,Bagus,-6.188168722003906,106.81700782143756,803050156.0,kaggle,20.5039277319778
Jakarta Selatan,157,264,6,5,2,1982,HGB,Sedang,-6.21675068504788,106.80917557043968,2926112289.0,kaggle,21.796940515431356
Jakarta Barat,312,607,2,1,1,2012,SHM,Bagus,-6.246047483405677,106.90805159220696,4223960575.0,kaggle,22.164039049973482
Jakarta Barat,593,733,7,7,3,2013,SHM,Bagus,-6.279218231760027,106.97369460035542,6645962637.0,kaggle,22.617275385135656
Bogor,488,642,3,3,2,2000,Girik,Bagus,-6.38470264912787,106.89336193961836,3714459535.0,kaggle,22.035499022971425
Depok,425,686,5,5,3,2016,Girik,Baru,-6.136851340600597,106.83090643075016,4075799706.0,kaggle,22.128332811501856
Jakarta Pusat,329,601,2,1,1,1998,SHM,Bagus,-6.363012399295507,106.92934563671643,5260298388.0,kaggle,22.383453590033827
Jakarta Selatan,481,712,4,3,3,2016,Girik,Baru,-6.418041892847644,106.88511082371907,7077528231.0,kaggle,22.68019056392153
Jakarta Selatan,245,485,3,3,1,2000,HGB,Sedang,-6.1874946872699566,106.69939531427772,4491613814.0,kaggle,22.225477898399312
Jakarta Timur,337,594,7,6,1,1993,SHM,Sedang,-6.388534562984092,106.71061234765403,4377596665.0,kaggle,22.19976570434763
Jakarta Barat,258,506,2,1,1,1989,SHM,Bagus,-6.319836400160589,106.69213342210357,3609482294.0,kaggle,22.006830190419947
Jakarta Pusat,38,114,7,7,2,1986,SHM,Sedang,-6.440100275098157,106.82618122438602,1188801844.0,kaggle,20.89621178391176
Bogor,553,732,7,6,0,2008,SHM,Bagus,-6.402026220110844,106.94427309898848,4278225294.0,kaggle,22.176804109847808
Depok,128,193,6,6,0,2019,Girik,Baru,-6.389378729234031,106.78018661419244,1410102457.0,kaggle,21.066928203944723
Jakarta Utara,555,725,3,3,2,1987,SHM,Baru,-6.430956455287438,106.8029312585896,5836042403.0,kaggle,22.487318733516126
Depok,463,484,6,5,3,2018,HGB,Bagus,-6.220170065182004,106.97103267467772,3584499283.0,kaggle,21.999884631508262
Tangerang,528,634,7,6,2,1992,HGB,Sedang,-6.157047271468909,106.94780910250132,4351913514.0,kaggle,22.193881473830167
Jakarta Selatan,270,496,2,2,3,1998,SHM,Butuh Renovasi,-6.319339607771921,106.89281539596242,4570252052.0,kaggle,22.24283419416093
Bogor,196,411,7,7,1,1990,SHM,Bagus,-6.143898233148629,106.76537721026952,2184580585.0,kaggle,21.504689695581504
Tangerang,366,434,4,4,2,1981,HGB,Bagus,-6.375328698903956,106.71745327446033,2945359078.0,kaggle,21.803496574970445
Jakarta Pusat,368,451,7,6,0,1985,SHM,Bagus,-6.336113351753566,106.68513882325765,4991352722.0,kaggle,22.330972796746007
Jakarta Utara,85,187,6,6,3,2008,HGB,Bagus,-6.397242052439092,106.71424341523344,1660954169.0,kaggle,21.230658075384746
Jakarta Barat,558,596,3,3,2,2020,SHM,Bagus,-6.23280428160335,106.77363086195966,6113337220.0,kaggle,22.533738651038806
Bogor,527,539,2,2,2,1984,SHM,Sedang,-6.303045643195393,106.85657282034543,3511055795.0,kaggle,21.97918262577516
Bogor,307,603,6,6,3,2020,SHM,Sedang,-6.235350828605335,106.70048002648078,3035882978.0,kaggle,21.833768151270533
Jakarta Selatan,287,467,7,6,1,2009,SHM,Bagus,-6.183413783112036,106.7235928890619,4808567169.0,kaggle,22.29366499103245
Bekasi,595,862,4,3,1,2018,SHM,Bagus,-6.259003944388468,106.73794582473856,4520009232.0,kaggle,22.23177987348758
Bogor,125,137,5,5,1,2015,Girik,Butuh Renovasi,-6.230329375784375,106.88223426975466,1123709027.0,kaggle,20.83990068301868
Jakarta Timur,481,600,4,3,1,2006,SHM,Sedang,-6.122662389961983,106.87705273567364,5370195947.0,kaggle,22.404130234186937
Jakarta Utara,367,423,7,6,3,1997,HGB,Bagus,-6.345327491636905,106.85624503243908,3734843747.0,kaggle,22.04097182011795
Jakarta Utara,174,213,4,3,0,2015,Girik,Bagus,-6.324292621478117,106.7601604559027,1693124361.0,kaggle,21.249841393985548
Jakarta Timur,392,519,5,5,2,1995,HGB,Sedang,-6.198803823401732,106.79875830119,4304897677.0,kaggle,22.1830192063671
Jakarta Timur,309,481,4,3,2,1984,SHM,Bagus,-6.236043069030615,106.71094070922808,3650729665.0,kaggle,22.018192893054923
Jakarta Timur,54,88,5,4,1,1988,HGB,Bagus,-6.3875134834111,106.75246739320258,997471385.0,kaggle,20.720734020602563
Jakarta Utara,346,604,7,7,3,2013,SHM,Bagus,-6.318348441496329,106.96726567247124,4526096060.0,kaggle,22.233125608192356
Depok,189,193,5,5,0,2013,SHM,Sedang,-6.286256695406349,106.99350135885946,1729327108.0,kaggle,21.27099821545848
Jakarta Utara,425,642,6,5,0,2015,HGB,Bagus,-6.303213556711063,106.88725106740488,4874092090.0,kaggle,22.30719968630823
Bekasi,295,305,6,5,2,2010,SHM,Bagus,-6.387603817087286,106.9733834534475,2135087027.0,kaggle,21.481773245325503
Jakarta Selatan,160,276,5,5,1,1999,Girik,Sedang,-6.126449467875508,106.88567740812846,2543922933.0,kaggle,21.656973188726443
Tangerang,389,572,2,2,2,1996,HGB,Butuh Renovasi,-6.183188433407108,106.69062287555376,3510127034.0,kaggle,21.978918066076954
Depok,308,423,3,3,2,1999,SHM,Sedang,-6.281525458762252,106.99896402719564,2309701949.0,kaggle,21.56038432718152
Jakarta Barat,280,441,2,2,0,2007,SHM,Baru,-6.211978640092607,106.7116647365397,3486603239.0,kaggle,21.972193815545026
Tangerang,485,551,5,4,3,2000,HGB,Bagus,-6.135951064752567,106.89844537646242,4032024504.0,kaggle,22.11753444532598
Jakarta Selatan,282,481,3,3,0,1998,SHM,Bagus,-6.40233905017345,106.76090758498394,4469480867.0,kaggle,22.220538101914723
Bekasi,555,585,6,5,2,1982,HGB,Baru,-6.3623694322525575,106.80543395613024,3791792670.0,kaggle,22.056104744475235
Bekasi,176,250,3,2,1,2009,SHM,Butuh Renovasi,-6.260054563460174,106.88669893913632,1564767266.0,kaggle,21.171002938697814
Jakarta Barat,397,633,5,4,1,1984,SHM,Sedang,-6.1703463700266745,106.81967595177846,5065878518.0,kaggle,22.34579340857
Depok,43,108,6,6,3,2021,SHM,Bagus,-6.437310786595465,106.76017473885796,743083985.0,kaggle,20.426319632633074
Jakarta Timur,513,582,3,3,3,1985,SHM,Baru,-6.105593647431274,106.78702277980106,5141409680.0,kaggle,22.360593135815797
Depok,387,683,3,2,3,1982,SHM,Baru,-6.290782688991161,106.78929539741542,3562250288.0,kaggle,21.99365828576867
